Knot,Grid ID,tb,r,Parents
8a1,S1131,-8,-1,G1011
8a1,S1132,-8,1,G1011
m8a1,S2261,-4,-1,"G1850, G1849, G1848"
m8a1,S2262,-4,1,"G1850, G1849, G1848"
8a2,S1232,-12,-5,"G1015, G1014"
8a2,S1231,-12,-3,"G1012, G1013, G1014, G1015"
8a2,S1230,-12,-1,"G1018, G1017, G1012, G1013, G1016"
8a2,S1233,-12,1,"G1018, G1019, G1017, G1020, G1016"
8a2,S1234,-12,3,"G1020, G1019, G1021, G1022"
8a2,S1235,-12,5,"G1021, G1022"
m8a2,S2323,0,-1,G1851
m8a2,S2324,0,1,G1851
8a3,S1236,-6,-1,"G1023, G1024"
8a3,S1237,-6,1,"G1023, G1024"
8a4,S1238,-4,-1,"G1025, G1026"
8a4,S1239,-4,1,"G1025, G1026"
m8a4,S2326,-8,-3,"G1852, G1853, G1855"
m8a4,S2327,-8,-3,"G1856, G1854"
m8a4,S2325,-8,-1,"G1853, G1857, G1855, G1852, G1856, G1860, G1858, G1854, G1859"
m8a4,S2328,-8,1,"G1865, G1862, G1857, G1863, G1860, G1858, G1864, G1861, G1859"
m8a4,S2329,-8,3,"G1865, G1862"
m8a4,S2330,-8,3,"G1864, G1863, G1861"
8a5,S1242,-12,-5,G1030
8a5,S1241,-12,-3,"G1030, G1029, G1027, G1028"
8a5,S1240,-12,-1,"G1034, G1027, G1033, G1029, G1031, G1028, G1032"
8a5,S1243,-12,1,"G1034, G1036, G1033, G1035, G1037, G1031, G1032"
8a5,S1244,-12,3,"G1038, G1035, G1037, G1036"
8a5,S1245,-12,5,G1038
m8a5,S2331,0,-1,G1866
m8a5,S2332,0,1,G1866
8a6,S1247,-10,-3,"G1041, G1039"
8a6,S1248,-10,-3,G1040
8a6,S1246,-10,-1,"G1042, G1039, G1040, G1041, G1043"
8a6,S1249,-10,1,"G1046, G1042, G1044, G1045, G1043"
8a6,S1250,-10,3,G1045
8a6,S1251,-10,3,"G1046, G1044"
m8a6,S2333,-2,-1,G1868
m8a6,S2334,-2,-1,G1867
m8a6,S2335,-2,1,G1868
m8a6,S2336,-2,1,G1867
8a7,S1252,-3,-2,G1048
8a7,S1253,-3,-2,G1047
8a7,S1254,-3,0,"G1048, G1049, G1047, G1050"
8a7,S1255,-3,2,G1049
8a7,S1256,-3,2,G1050
m8a7,S2339,-9,-4,G1872
m8a7,S2340,-9,-4,G1873
m8a7,S2337,-9,-2,"G1872, G1871, G1869, G1873"
m8a7,S2338,-9,-2,G1870
m8a7,S2341,-9,0,"G1874, G1870"
m8a7,S2342,-9,0,"G1871, G1876, G1875, G1869"
m8a7,S2346,-9,2,"G1877, G1878, G1876, G1875"
m8a7,S2347,-9,2,G1874
m8a7,S2348,-9,4,G1878
m8a7,S2349,-9,4,G1877
8a8,S1257,-5,-2,G1052
8a8,S1258,-5,-2,G1051
8a8,S1259,-5,-2,G1054
8a8,S1260,-5,-2,G1053
8a8,S1261,-5,-2,G1055
8a8,S1264,-5,0,"G1052, G1060"
8a8,S1265,-5,0,"G1054, G1055, G1058, G1056"
8a8,S1267,-5,0,"G1059, G1053, G1051, G1057"
8a8,S1268,-5,2,G1056
8a8,S1269,-5,2,G1057
8a8,S1270,-5,2,G1059
8a8,S1271,-5,2,G1058
8a8,S1272,-5,2,G1060
m8a8,S2350,-7,-2,G1881
m8a8,S2351,-7,-2,G1880
m8a8,S2352,-7,-2,G1879
m8a8,S2354,-7,0,"G1881, G1882, G1879, G1883, G1884, G1880"
m8a8,S2356,-7,2,G1882
m8a8,S2357,-7,2,G1883
m8a8,S2358,-7,2,G1884
8a9,S1276,-6,-3,"G1061, G1062"
8a9,S1274,-6,-1,"G1064, G1063"
8a9,S1275,-6,-1,"G1061, G1062"
8a9,S1278,-6,1,"G1064, G1063"
8a9,S1279,-6,1,"G1065, G1066"
8a9,S1280,-6,3,"G1065, G1066"
8a10,S1133,-3,-2,"G892, G894"
8a10,S1134,-3,-2,G893
8a10,S1135,-3,-2,G891
8a10,S1136,-3,0,"G896, G892, G891, G895, G894, G898"
8a10,S1137,-3,0,"G897, G893"
8a10,S1138,-3,2,"G898, G895"
8a10,S1139,-3,2,G896
8a10,S1140,-3,2,G897
m8a10,S2268,-9,-4,"G1786, G1785"
m8a10,S2264,-9,-2,G1784
m8a10,S2265,-9,-2,"G1781, G1782, G1780"
m8a10,S2266,-9,-2,"G1786, G1785"
m8a10,S2267,-9,-2,G1783
m8a10,S2269,-9,0,"G1782, G1781, G1787, G1780, G1789, G1788"
m8a10,S2270,-9,0,"G1783, G1790"
m8a10,S2271,-9,0,"G1791, G1784"
m8a10,S2272,-9,2,G1791
m8a10,S2273,-9,2,"G1793, G1792"
m8a10,S2274,-9,2,G1790
m8a10,S2275,-9,2,"G1787, G1789, G1788"
m8a10,S2276,-9,4,"G1793, G1792"
8a11,S1145,-10,-3,G899
8a11,S1146,-10,-3,G900
8a11,S1141,-10,-1,G900
8a11,S1142,-10,-1,G902
8a11,S1143,-10,-1,G901
8a11,S1144,-10,-1,G899
8a11,S1147,-10,1,G902
8a11,S1148,-10,1,G901
8a11,S1149,-10,1,G903
8a11,S1150,-10,1,G904
8a11,S1151,-10,3,G903
8a11,S1152,-10,3,G904
m8a11,S2277,-2,-1,"G1800, G1801, G1794, G1799, G1796"
m8a11,S2278,-2,-1,"G1795, G1798, G1797"
m8a11,S2279,-2,1,"G1801, G1798, G1797, G1799"
m8a11,S2280,-2,1,"G1795, G1794, G1796, G1800"
8a12,S1153,-6,-1,"G909, G906"
8a12,S1154,-6,-1,"G907, G905, G910, G911, G908"
8a12,S1158,-6,1,"G909, G906"
8a12,S1159,-6,1,"G907, G911, G910, G905, G908"
8a13,S1163,-5,-2,"G917, G923"
8a13,S1164,-5,-2,"G919, G916"
8a13,S1165,-5,-2,"G914, G918"
8a13,S1166,-5,-2,"G912, G913"
8a13,S1167,-5,-2,"G920, G922"
8a13,S1168,-5,-2,"G915, G921"
8a13,S1170,-5,0,"G931, G922, G935, G914, G915, G918, G917, G924, G928, G930, G934, G921, G925, G929, G920, G923"
8a13,S1171,-5,0,"G932, G927, G913, G926, G912, G933, G919, G916"
8a13,S1172,-5,2,"G928, G925"
8a13,S1173,-5,2,"G932, G926"
8a13,S1174,-5,2,"G931, G934"
8a13,S1175,-5,2,"G933, G927"
8a13,S1176,-5,2,"G930, G935"
8a13,S1177,-5,2,"G929, G924"
m8a13,S2281,-7,-2,G1802
m8a13,S2282,-7,-2,G1803
m8a13,S2283,-7,0,"G1804, G1803"
m8a13,S2284,-7,0,"G1802, G1805"
m8a13,S2285,-7,2,G1805
m8a13,S2286,-7,2,G1804
8a14,S1182,-10,-3,"G936, G938"
8a14,S1183,-10,-3,"G937, G939"
8a14,S1178,-10,-1,"G941, G947, G938, G950, G942, G936"
8a14,S1179,-10,-1,"G943, G944, G949, G945"
8a14,S1180,-10,-1,"G937, G939, G948, G940, G951, G946"
8a14,S1185,-10,1,"G952, G948, G940, G951, G954, G946"
8a14,S1186,-10,1,"G943, G944, G949, G945"
8a14,S1187,-10,1,"G941, G953, G947, G955, G950, G942"
8a14,S1188,-10,3,"G953, G955"
8a14,S1189,-10,3,"G954, G952"
m8a14,S2288,-2,-1,"G1807, G1810, G1809"
m8a14,S2289,-2,-1,G1808
m8a14,S2291,-2,-1,"G1811, G1806"
m8a14,S2292,-2,1,G1808
m8a14,S2293,-2,1,"G1807, G1809"
m8a14,S2294,-2,1,"G1811, G1806"
m8a14,S2296,-2,1,G1810
8a15,S1195,-14,-3,"G956, G959, G957"
8a15,S1196,-14,-3,G958
8a15,S1191,-14,-1,"G967, G966, G958"
8a15,S1192,-14,-1,"G962, G957, G959, G960, G964, G963, G956, G961, G965"
8a15,S1197,-14,1,"G967, G966, G971"
8a15,S1200,-14,1,"G962, G969, G960, G970, G964, G963, G961, G968, G965"
8a15,S1201,-14,3,G971
8a15,S1202,-14,3,"G970, G968, G969"
m8a15,S2297,2,-1,G1812
m8a15,S2298,2,-1,G1813
m8a15,S2299,2,-1,"G1817, G1816"
m8a15,S2300,2,-1,"G1815, G1814"
m8a15,S2301,2,1,G1817
m8a15,S2302,2,1,"G1812, G1814"
m8a15,S2303,2,1,"G1815, G1816"
m8a15,S2304,2,1,G1813
8a16,S1204,-3,-2,"G974, G973"
8a16,S1205,-3,-2,G972
8a16,S1206,-3,0,"G975, G972"
8a16,S1207,-3,0,"G974, G977, G973, G976"
8a16,S1208,-3,2,G975
8a16,S1209,-3,2,"G977, G976"
m8a16,S2310,-9,-4,"G1832, G1831, G1830"
m8a16,S2305,-9,-2,"G1831, G1832, G1822, G1829, G1824, G1820"
m8a16,S2306,-9,-2,"G1823, G1828, G1818, G1825, G1821"
m8a16,S2308,-9,-2,"G1819, G1827, G1826, G1830"
m8a16,S2312,-9,0,"G1823, G1835, G1828, G1837, G1821, G1844, G1836, G1825, G1839, G1818"
m8a16,S2314,-9,0,"G1838, G1824, G1841, G1822, G1829, G1833, G1843, G1820"
m8a16,S2315,-9,0,"G1827, G1840, G1842, G1819, G1826, G1834"
m8a16,S2316,-9,2,"G1845, G1840, G1842, G1834"
m8a16,S2317,-9,2,"G1838, G1847, G1846, G1841, G1833, G1843"
m8a16,S2319,-9,2,"G1835, G1837, G1844, G1836, G1839"
m8a16,S2322,-9,4,"G1847, G1845, G1846"
8a17,S1214,-6,-3,G982
8a17,S1215,-6,-3,"G979, G978"
8a17,S1216,-6,-3,G980
8a17,S1217,-6,-3,"G981, G983"
8a17,S1210,-6,-1,"G987, G985, G981, G992, G989, G983"
8a17,S1211,-6,-1,"G999, G988, G979, G984, G986, G978"
8a17,S1212,-6,-1,"G996, G997, G980, G998, G993"
8a17,S1213,-6,-1,"G994, G991, G995, G990, G982"
8a17,S1218,-6,1,"G987, G985, G1001, G989, G992, G1000"
8a17,S1219,-6,1,"G1004, G996, G997, G998, G993"
8a17,S1220,-6,1,"G999, G1005, G988, G984, G986, G1002"
8a17,S1221,-6,1,"G994, G991, G995, G990, G1003"
8a17,S1222,-6,3,"G1000, G1001"
8a17,S1223,-6,3,G1003
8a17,S1224,-6,3,"G1005, G1002"
8a17,S1225,-6,3,G1004
8a18,S1227,-6,-3,G1006
8a18,S1226,-6,-1,"G1006, G1008, G1007, G1009"
8a18,S1228,-6,1,"G1008, G1009, G1007, G1010"
8a18,S1229,-6,3,G1010
10n2,S64,-5,-2,G180
10n2,S65,-5,0,"G180, G181"
10n2,S66,-5,2,G181
m10n2,S1330,-7,-4,G1185
m10n2,S1329,-7,-2,"G1184, G1185"
m10n2,S1331,-7,0,"G1184, G1186"
m10n2,S1332,-7,2,"G1186, G1187"
m10n2,S1333,-7,4,G1187
10n3,S179,-1,-2,"G249, G250"
10n3,S180,-1,0,"G251, G249, G252, G250"
10n3,S181,-1,2,"G251, G252"
m10n3,S1420,-11,-4,G1269
m10n3,S1419,-11,-2,"G1268, G1269"
m10n3,S1421,-11,0,"G1268, G1270"
m10n3,S1422,-11,2,"G1271, G1270"
m10n3,S1423,-11,4,G1271
10n4,S235,-14,-5,G285
10n4,S236,-14,-5,G286
10n4,S234,-14,-3,"G283, G285, G284, G282, G279, G286, G281, G280"
10n4,S233,-14,-1,"G291, G283, G289, G288, G280, G290, G294, G279, G282, G284, G292, G281, G293, G287"
10n4,S237,-14,1,"G295, G299, G291, G288, G289, G290, G294, G296, G300, G297, G292, G298, G293, G287"
10n4,S238,-14,3,"G295, G299, G302, G296, G301, G300, G297, G298"
10n4,S239,-14,5,G301
10n4,S240,-14,5,G302
m10n4,S1471,2,-1,"G1312, G1315"
m10n4,S1472,2,-1,"G1314, G1313"
m10n4,S1473,2,1,"G1312, G1315"
m10n4,S1474,2,1,"G1314, G1313"
10n6,S263,-7,-2,"G304, G306, G307, G305"
10n6,S264,-7,-2,"G308, G309, G310, G303"
10n6,S268,-7,0,"G312, G318, G308, G317, G310, G316, G314, G305, G311, G307, G313, G304, G306, G303, G304, G313"
10n6,S272,-7,2,"G312, G317, G313, G311"
10n6,S273,-7,2,"G316, G315, G318, G314"
m10n6,S1504,-5,-2,G1316
m10n6,S1505,-5,0,"G1316, G1317"
m10n6,S1506,-5,2,G1317
10n7,S274,-3,-2,G319
10n7,S275,-3,-2,G320
10n7,S277,-3,0,"G319, G320, G322, G321"
10n7,S278,-3,2,G322
10n7,S279,-3,2,G321
m10n7,S1507,-9,-2,G1318
m10n7,S1508,-9,0,"G1318, G1319"
m10n7,S1509,-9,2,G1319
10n8,S281,-12,-3,G323
10n8,S282,-12,-3,G324
10n8,S280,-12,-1,"G329, G326, G324, G325, G328, G327, G330, G323"
10n8,S283,-12,1,"G329, G326, G332, G325, G327, G328, G330, G331"
10n8,S284,-12,3,G331
10n8,S285,-12,3,G332
m10n8,S1510,0,-1,G1326
m10n8,S1511,0,-1,G1321
m10n8,S1512,0,-1,"G1324, G1329, G1325"
m10n8,S1513,0,-1,"G1328, G1327, G1320"
m10n8,S1514,0,-1,G1323
m10n8,S1515,0,-1,G1322
m10n8,S1516,0,1,G1321
m10n8,S1517,0,1,"G1329, G1322, G1327, G1320"
m10n8,S1518,0,1,G1326
m10n8,S1519,0,1,"G1324, G1328, G1325"
m10n8,S1520,0,1,G1323
10n10,S10,-12,-3,G1
10n10,S8,-12,-3,G2
10n10,S9,-12,-3,G3
10n10,S2,-12,-1,"G9, G5, G7, G11, G4, G8, G6, G10"
10n10,S5,-12,-1,"G2, G3, G1"
10n10,S14,-12,1,"G9, G11, G4, G8, G6, G10, G5, G7"
10n10,S16,-12,1,"G12, G13, G14"
10n10,S18,-12,3,G12
10n10,S19,-12,3,G13
10n10,S20,-12,3,G14
m10n10,S1281,0,-1,G1068
m10n10,S1282,0,-1,G1067
m10n10,S1283,0,-1,G1071
m10n10,S1284,0,-1,G1070
m10n10,S1285,0,-1,G1069
m10n10,S1286,0,1,G1071
m10n10,S1287,0,1,G1068
m10n10,S1288,0,1,G1069
m10n10,S1289,0,1,G1067
m10n10,S1290,0,1,G1070
10n11,S22,-16,-3,"G16, G15, G17, G18"
10n11,S21,-16,-1,"G21, G19, G20, G17, G18, G22, G15, G16"
10n11,S23,-16,1,"G26, G21, G19, G20, G22, G24, G25, G23"
10n11,S24,-16,3,"G25, G23, G24, G26"
m10n11,S1291,4,-1,G1076
m10n11,S1292,4,-1,G1075
m10n11,S1293,4,-1,G1074
m10n11,S1294,4,-1,G1073
m10n11,S1295,4,-1,G1072
m10n11,S1296,4,1,G1074
m10n11,S1297,4,1,G1075
m10n11,S1298,4,1,G1072
m10n11,S1299,4,1,G1073
m10n11,S1300,4,1,G1076
10n12,S25,-7,-2,"G27, G31, G30"
10n12,S26,-7,-2,"G32, G28"
10n12,S28,-7,-2,G29
10n12,S29,-7,-2,G33
10n12,S30,-7,0,"G27, G33, G36, G35"
10n12,S32,-7,0,"G37, G29"
10n12,S33,-7,0,"G31, G32, G34, G28, G30, G38, G39, G40"
10n12,S36,-7,2,"G34, G38"
10n12,S37,-7,2,"G39, G40, G35"
10n12,S39,-7,2,G36
10n12,S40,-7,2,G37
m10n12,S1301,-5,-2,G1078
m10n12,S1302,-5,-2,G1079
m10n12,S1303,-5,-2,G1077
m10n12,S1304,-5,-2,G1080
m10n12,S1306,-5,0,"G1077, G1080, G1084, G1081"
m10n12,S1308,-5,0,"G1083, G1079, G1078, G1082"
m10n12,S1309,-5,2,G1082
m10n12,S1310,-5,2,G1083
m10n12,S1311,-5,2,G1084
m10n12,S1312,-5,2,G1081
10n14,S43,-8,-1,"G42, G46, G50, G41, G51, G47"
10n14,S46,-8,-1,"G45, G44, G52, G48, G49, G43"
10n14,S48,-8,1,"G42, G46, G50, G41, G51, G47"
10n14,S49,-8,1,"G45, G44, G52, G48, G49, G43"
m10n14,S1313,-4,-1,G1085
m10n14,S1314,-4,-1,G1087
m10n14,S1315,-4,-1,G1088
m10n14,S1316,-4,-1,G1086
m10n14,S1317,-4,1,G1087
m10n14,S1318,-4,1,G1086
m10n14,S1319,-4,1,G1085
m10n14,S1320,-4,1,G1088
10n15,S54,-8,-1,"G57, G59"
10n15,S55,-8,-1,G54
10n15,S56,-8,-1,"G55, G53, G58, G56, G61, G60"
10n15,S57,-8,1,G54
10n15,S58,-8,1,"G57, G59"
10n15,S59,-8,1,"G55, G53, G58, G56, G61, G60"
m10n15,S1321,-4,-1,"G1092, G1093"
m10n15,S1322,-4,-1,"G1091, G1090, G1089"
m10n15,S1323,-4,1,"G1092, G1093"
m10n15,S1324,-4,1,"G1091, G1090, G1089"
10n18,S61,-8,-3,G62
10n18,S60,-8,-1,"G65, G64, G63, G62"
10n18,S62,-8,1,"G64, G65, G66, G63"
10n18,S63,-8,3,G66
m10n18,S1326,-4,-3,G1094
m10n18,S1325,-4,-1,"G1098, G1096, G1095, G1094, G1097"
m10n18,S1327,-4,1,"G1098, G1096, G1095, G1099, G1097"
m10n18,S1328,-4,3,G1099
10n20,S67,-1,-2,G68
10n20,S68,-1,-2,G67
10n20,S69,-1,0,"G68, G70"
10n20,S70,-1,0,"G69, G67"
10n20,S71,-1,2,G70
10n20,S72,-1,2,G69
m10n20,S1339,-11,-4,G1105
m10n20,S1340,-11,-4,G1106
m10n20,S1334,-11,-2,"G1104, G1105, G1101"
m10n20,S1338,-11,-2,"G1103, G1100, G1102, G1106"
m10n20,S1341,-11,0,"G1104, G1108, G1107, G1101"
m10n20,S1342,-11,0,"G1102, G1100, G1111, G1110, G1103, G1109"
m10n20,S1346,-11,2,"G1111, G1110, G1112, G1109"
m10n20,S1347,-11,2,"G1108, G1107, G1113"
m10n20,S1348,-11,4,G1113
m10n20,S1349,-11,4,G1112
10n21,S74,-10,-3,"G76, G71, G75"
10n21,S75,-10,-3,"G72, G74, G73"
10n21,S73,-10,-1,"G89, G74, G78, G73, G88, G84, G82, G71, G90, G75, G92, G76, G79, G83, G72, G93, G85, G91, G81, G80, G86, G87, G77"
10n21,S76,-10,1,"G97, G89, G94, G78, G88, G84, G82, G90, G92, G96, G79, G83, G98, G85, G91, G93, G81, G80, G99, G86, G87, G77, G95"
10n21,S77,-10,3,"G98, G95, G94"
10n21,S78,-10,3,"G97, G96, G99"
m10n21,S1350,-2,-1,G1114
m10n21,S1351,-2,1,G1114
10n23,S79,-5,-2,G100
10n23,S80,-5,0,"G100, G101"
10n23,S81,-5,2,G101
m10n23,S1352,-7,-2,"G1119, G1118"
m10n23,S1353,-7,-2,G1124
m10n23,S1354,-7,-2,"G1117, G1123"
m10n23,S1355,-7,-2,"G1121, G1115"
m10n23,S1356,-7,-2,G1122
m10n23,S1357,-7,-2,"G1116, G1126"
m10n23,S1358,-7,-2,"G1120, G1125"
m10n23,S1359,-7,0,"G1127, G1131, G1128, G1137, G1115, G1129, G1134, G1138, G1119, G1123, G1130, G1136, G1118, G1126, G1124, G1125, G1132, G1122, G1117, G1120, G1116, G1121, G1133, G1135"
m10n23,S1360,-7,2,G1132
m10n23,S1361,-7,2,"G1131, G1133"
m10n23,S1362,-7,2,"G1134, G1130"
m10n23,S1363,-7,2,"G1135, G1137"
m10n23,S1364,-7,2,"G1136, G1128"
m10n23,S1365,-7,2,G1129
m10n23,S1366,-7,2,"G1127, G1138"
10n24,S84,-8,-3,G1885
10n24,S85,-8,-3,G2291
10n24,S82,-8,-1,"G2293, G2292, G2291"
10n24,S83,-8,-1,"G1885, G1886, G1887"
10n24,S86,-8,1,"G2294, G2293, G2292"
10n24,S87,-8,1,"G1886, G1888, G1887"
10n24,S88,-8,3,G1888
10n24,S89,-8,3,G2294
m10n24,S1368,-4,-1,"G2121, G2123"
m10n24,S1369,-4,-1,"G2120, G2122, G2124"
m10n24,S1371,-4,-1,"G2526, G2529"
m10n24,S1372,-4,-1,"G2528, G2527, G2530"
m10n24,S1373,-4,1,"G2120, G2123"
m10n24,S1374,-4,1,"G2526, G2528"
m10n24,S1375,-4,1,"G2122, G2121, G2124"
m10n24,S1376,-4,1,"G2530, G2527, G2529"
10n25,S90,-1,-2,G102
10n25,S91,-1,-2,G105
10n25,S92,-1,-2,G103
10n25,S93,-1,-2,G104
10n25,S94,-1,0,"G105, G108"
10n25,S95,-1,0,"G102, G109"
10n25,S96,-1,0,"G106, G104"
10n25,S97,-1,0,"G107, G103"
10n25,S100,-1,2,G107
10n25,S101,-1,2,G106
10n25,S98,-1,2,G108
10n25,S99,-1,2,G109
m10n25,S1381,-11,-4,G1147
m10n25,S1382,-11,-4,G1148
m10n25,S1377,-11,-2,G1146
m10n25,S1378,-11,-2,"G1145, G1144, G1147, G1141"
m10n25,S1379,-11,-2,G1143
m10n25,S1380,-11,-2,"G1140, G1148, G1139, G1142"
m10n25,S1383,-11,0,"G1149, G1143"
m10n25,S1385,-11,0,"G1151, G1139, G1156, G1142, G1140, G1150"
m10n25,S1387,-11,0,"G1145, G1155, G1153, G1154, G1144, G1141"
m10n25,S1388,-11,0,"G1146, G1152"
m10n25,S1389,-11,2,"G1153, G1155, G1154, G1158"
m10n25,S1390,-11,2,"G1156, G1157, G1151, G1150"
m10n25,S1391,-11,2,G1152
m10n25,S1392,-11,2,G1149
m10n25,S1393,-11,4,G1157
m10n25,S1394,-11,4,G1158
10n26,S106,-14,-5,G2305
10n26,S107,-14,-5,G1899
10n26,S104,-14,-3,"G2304, G2305, G2297, G2300, G2303, G2296, G2301, G2299, G2302, G2295, G2298"
10n26,S105,-14,-3,"G1890, G1889, G1895, G1893, G1891, G1896, G1897, G1894, G1899, G1898, G1892"
10n26,S102,-14,-1,"G1890, G1895, G1904, G1892, G1909, G1913, G1903, G1906, G1897, G1908, G1898, G1889, G1912, G1893, G1911, G1896, G1894, G1900, G1902, G1910, G1907, G1901, G1891, G1905"
10n26,S103,-14,-1,"G2304, G2307, G2308, G2313, G2302, G2296, G2315, G2310, G2309, G2303, G2311, G2299, G2295, G2298, G2314, G2317, G2300, G2297, G2316, G2318, G2319, G2312, G2306, G2301"
10n26,S108,-14,1,"G1916, G1920, G1904, G1917, G1915, G1921, G1923, G1914, G1909, G1913, G1903, G1918, G1906, G1919, G1908, G1912, G1911, G1900, G1902, G1910, G1922, G1907, G1901, G1905"
10n26,S109,-14,1,"G2307, G2324, G2308, G2313, G2322, G2315, G2310, G2323, G2309, G2311, G2314, G2329, G2320, G2317, G2316, G2325, G2328, G2318, G2319, G2327, G2312, G2306, G2321, G2326"
10n26,S110,-14,3,"G2325, G2328, G2324, G2320, G2323, G2330, G2327, G2322, G2321, G2326, G2329"
10n26,S111,-14,3,"G1916, G1920, G1918, G1917, G1915, G1921, G1919, G1923, G1924, G1914, G1922"
10n26,S112,-14,5,G1924
10n26,S113,-14,5,G2330
m10n26,S1395,2,-1,"G2532, G2531"
m10n26,S1396,2,-1,"G2125, G2126"
m10n26,S1397,2,1,"G2125, G2126"
m10n26,S1398,2,1,"G2532, G2531"
10n27,S122,-12,-3,"G110, G111, G115"
10n27,S123,-12,-3,"G112, G113, G114"
10n27,S114,-12,-1,"G122, G114, G124"
10n27,S115,-12,-1,"G123, G112"
10n27,S117,-12,-1,"G116, G110, G118"
10n27,S119,-12,-1,"G120, G111"
10n27,S120,-12,-1,"G125, G113, G119"
10n27,S121,-12,-1,"G121, G117, G115"
10n27,S128,-12,1,"G123, G130"
10n27,S130,-12,1,"G127, G122, G124"
10n27,S131,-12,1,"G120, G126"
10n27,S132,-12,1,"G128, G116, G118"
10n27,S134,-12,1,"G129, G121, G117"
10n27,S135,-12,1,"G131, G125, G119"
10n27,S136,-12,3,"G129, G126, G128"
10n27,S138,-12,3,"G127, G130, G131"
m10n27,S1399,0,-1,G1168
m10n27,S1400,0,-1,G1161
m10n27,S1401,0,-1,"G1169, G1159, G1164"
m10n27,S1402,0,-1,"G1160, G1170, G1162"
m10n27,S1403,0,-1,"G1163, G1166"
m10n27,S1404,0,-1,"G1165, G1167"
m10n27,S1405,0,1,"G1165, G1167"
m10n27,S1406,0,1,"G1168, G1159, G1164"
m10n27,S1407,0,1,G1160
m10n27,S1408,0,1,G1169
m10n27,S1409,0,1,"G1163, G1166"
m10n27,S1410,0,1,"G1161, G1170, G1162"
10n28,S142,-3,-2,"G133, G138"
10n28,S143,-3,-2,"G146, G147, G149"
10n28,S144,-3,-2,"G145, G148"
10n28,S145,-3,-2,G142
10n28,S146,-3,-2,"G137, G140, G139"
10n28,S147,-3,-2,G134
10n28,S148,-3,-2,"G132, G143"
10n28,S149,-3,-2,G141
10n28,S150,-3,-2,G150
10n28,S151,-3,-2,"G151, G135, G144"
10n28,S152,-3,-2,G136
10n28,S155,-3,0,"G171, G136, G157, G134"
10n28,S157,-3,0,"G166, G142, G162, G150"
10n28,S158,-3,0,"G159, G141"
10n28,S159,-3,0,"G132, G140, G156, G148, G154, G168, G167, G139, G153, G164, G145, G137, G163, G143"
10n28,S161,-3,0,"G135, G151, G155, G146, G160, G165, G144, G170, G133, G138, G149, G169, G147, G158, G161, G152"
10n28,S162,-3,2,"G153, G154"
10n28,S163,-3,2,G166
10n28,S164,-3,2,G171
10n28,S165,-3,2,"G164, G168, G167"
10n28,S166,-3,2,"G160, G169"
10n28,S167,-3,2,"G155, G165, G152"
10n28,S168,-3,2,G157
10n28,S169,-3,2,"G158, G161, G170"
10n28,S170,-3,2,"G163, G156"
10n28,S171,-3,2,G162
10n28,S172,-3,2,G159
m10n28,S1411,-9,-2,"G1171, G1175, G1172"
m10n28,S1412,-9,-2,"G1174, G1176, G1173"
m10n28,S1413,-9,0,"G1173, G1176, G1180, G1182, G1179, G1174"
m10n28,S1414,-9,0,"G1181, G1178, G1177, G1175, G1171, G1172"
m10n28,S1415,-9,2,"G1179, G1180, G1182"
m10n28,S1416,-9,2,"G1181, G1178, G1177"
10n29,S174,-18,-3,G173
10n29,S175,-18,-3,G172
10n29,S173,-18,-1,"G173, G177, G176, G174, G175, G172"
10n29,S176,-18,1,"G177, G178, G176, G179, G174, G175"
10n29,S177,-18,3,G178
10n29,S178,-18,3,G179
m10n29,S1417,6,-1,G1183
m10n29,S1418,6,1,G1183
10n30,S182,-5,-2,G183
10n30,S183,-5,-2,G182
10n30,S184,-5,0,"G185, G182"
10n30,S185,-5,0,"G183, G184"
10n30,S186,-5,2,G185
10n30,S187,-5,2,G184
m10n30,S1424,-7,-2,G1189
m10n30,S1425,-7,-2,G1188
m10n30,S1426,-7,0,"G1188, G1190"
m10n30,S1427,-7,0,"G1189, G1191"
m10n30,S1428,-7,2,G1190
m10n30,S1429,-7,2,G1191
10n31,S189,-16,-3,G188
10n31,S190,-16,-3,G186
10n31,S191,-16,-3,G187
10n31,S188,-16,-1,"G190, G188, G189, G186, G194, G191, G192, G187, G193"
